Time,Altitude
17.2,0.3277259281800016
17.21,0.32782799671748303
17.22,0.3279289289736246
17.23,0.3280287465218525
17.240000000000002,0.3281279044463121
17.25,0.3282264027470033
17.26,0.32832424142392613
17.27,0.32842142047708056
17.28,0.32851788598610754
17.29,0.32861361314075577
17.3,0.3287085056653068
17.31,0.32880243740258513
17.32,0.3288954083525908
17.330000000000002,0.32898741851532376
17.34,0.3290780460664827
17.35,0.32916687991751337
17.36,0.32925379262736243
17.37,0.3293386080653494
17.38,0.32942132623147424
17.39,0.3295019471257369
17.400000000000002,0.32958047074813746
17.41,0.3296570095173934
17.42,0.3297326248062832
17.43,0.3298073166148068
17.44,0.3298810849429642
17.45,0.32995392979075544
17.46,0.3300258511581805
17.47,0.33009684904523934
17.48,0.3301668825762643
17.490000000000002,0.33023576265019916
17.5,0.3303034892670439
17.51,0.33037006242679856
17.52,0.33043548212946317
17.53,0.3304997483750377
17.54,0.3305632829878234
17.55,0.3306264467602556
17.56,0.3306890966455031
17.57,0.3307512326435659
17.580000000000002,0.33081285475444383
17.59,0.3308739629781371
17.6,0.3309345573146456
17.61,0.330994639998956
17.62,0.33105412489790703
17.63,0.3311127869639405
17.64,0.33117062619705623
17.650000000000002,0.33122764259725435
17.66,0.3312838361645348
17.67,0.33133920689889756
17.68,0.3313938495963695
17.69,0.3314479635723112
17.7,0.33150117764473197
17.71,0.3315534918136317
17.72,0.3316049060790105
17.73,0.3316554204408684
17.740000000000002,0.3317050348992053
17.75,0.3317537997501403
17.76,0.33180185804050477
17.77,0.3318491485464983
17.78,0.3318953589865797
17.79,0.33194048936074905
17.8,0.3319845396690063
17.81,0.33202750991135155
17.82,0.3320694958228595
17.830000000000002,0.33211072245108836
17.84,0.3321511897960382
17.85,0.33219089785770906
17.86,0.33222974701258023
17.87,0.3322676992022593
17.88,0.3323047544267464
17.89,0.33234092728198816
17.900000000000002,0.33237658894997546
17.91,0.33241173943070823
17.92,0.3324463787241866
17.93,0.33248047966973926
17.94,0.3325137852769073
17.95,0.33254629554569065
17.96,0.3325780104760892
17.97,0.33260899129190347
17.98,0.33263955027467446
17.990000000000002,0.3326696874244022
18.0,0.3326994027410867
18.01,0.33272844505983723
18.02,0.3327567720011505
18.03,0.3327843835650266
18.04,0.3328112797514655
18.05,0.33283746056046726
18.06,0.33286302561555237
18.07,0.3328879165407369
18.080000000000002,0.3329117325834697
18.09,0.3329344737437506
18.1,0.33295614002157975
18.11,0.33297673141695705
18.12,0.3329962479298825
18.13,0.3330147167210272
18.14,0.3330323947808504
18.150000000000002,0.3330489559980151
18.16,0.3330643272177468
18.17,0.33307850844004544
18.18,0.333091499664911
18.19,0.3331033008923435
18.2,0.3331139121223429
18.21,0.3331235845198001
18.22,0.3331320098280745
18.23,0.33313909277043324
18.240000000000002,0.3331448333468764
18.25,0.3331492315574039
18.26,0.3331522874020158
18.27,0.3331540973150886
18.28,0.33315488766959167
18.29,0.33315459689743354
18.3,0.3331532249986143
18.31,0.33315077197313386
18.32,0.3331472378209922
18.330000000000002,0.33314262254218946
18.34,0.3331369261367255
18.35,0.33313047471593715
18.36,0.3331230496348401
18.37,0.3331143098085426
18.38,0.3331042552370448
